-6.2832,0.0
-5.7596,0.5774
-5.236,1.7321
-4.7124,3638.1099
-4.1888,1.732
-3.6652,0.5774
-3.1416,0.0
-2.618,-0.5774
-2.0944,-1.732
-1.5708,0.0
-1.0472,-1.7321
-0.5236,-0.5773
0.0,0.0
0.5236,0.5774
1.0472,1.7321
1.5708,2981.1867
2.0944,1.7321
2.618,0.5774
3.1416,0.0
3.6652,-0.5774
4.1888,-1.7321
4.7124,-2096.0021
5.236,-1.7321
5.7596,-0.5774
6.2832,0.0
-5.4978,1.0
-3.927,1.0
-2.3562,-1.0
-0.7854,-1.0
0.0,0.0
0.7854,1.0
2.3562,1.0
3.927,-1.0
5.4978,-1.0
6.2832,0.0
